Zone,UseZone,Exposure,MapTrigger,IDorderBuy,OpenPrice,AmountBuy,OpenTime,FilledBuy,feeBuy,ExposureBuy,NAV,TradeTrigger,IDorderSell,ClosePrice,AmountSell,CloseTime,feeSell,LastClosePrice,Profit,round,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0.0905,1.0,,1.0,32207277261.0,0.051863,1.0,1615007372.06982,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.091,1.0,,1.0,32207278062.0,0.051863,1.0,1615007372.44241,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0915,1.0,,1.0,32207280376.0,0.051863,1.0,1615007373.1145,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.092,1.0,,1.0,32207281814.0,0.051863,1.0,1615007373.57232,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0925,1.0,,1.0,32207282865.0,0.051863,1.0,1615007373.90412,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.093,1.0,,1.0,32207283680.0,0.051863,1.0,1615007374.25266,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0935,1.0,,1.0,32207284262.0,0.051863,1.0,1615007374.60344,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.094,1.0,,1.0,32207285171.0,0.051863,1.0,1615007374.95223,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0945,1.0,,1.0,32207285921.0,0.051863,1.0,1615007375.28899,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.095,1.0,,1.0,32207286571.0,0.051863,1.0,1615007375.62296,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0955,1.0,,1.0,32207287328.0,0.051863,1.0,1615007378.51616,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.096,1.0,,1.0,32207292975.0,0.051863,1.0,1615007379.56358,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0965,1.0,,1.0,32207295625.0,0.051863,1.0,1615007380.39332,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0969999999999999,1.0,,1.0,32207297095.0,0.051863,1.0,1615007381.43021,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0975,1.0,,1.0,32207299500.0,0.051863,1.0,1615007381.8332,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.098,1.0,,1.0,32207301028.0,0.051863,1.0,1615007382.55215,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0985,1.0,,1.0,32207301981.0,0.051863,1.0,1615007382.90394,1.0,0.0002,0.051863,-0.000348000000000001,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
